"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"1647","VA","Franklin",41,42,41,42,42,NA
"1648","VA","Franklin City",9,1,1,9,9,NA
"1649","VA","Gloucester",1,NA,1,39,35,NA
"1650","VA","Greene",1,2,3,6,4,NA
"1651","VA","Hampton City",5,1,1,39,39,NA
"1652","VA","Henrico",17,7,7,62,46,NA
"1653","VA","Hopewell City",44,NA,NA,46,44,NA
"1654","VA","James City",2,2,2,41,36,NA
"1655","VA","King George",12,12,12,13,12,NA
"1656","VA","Lancaster",3,1,1,3,3,NA
"1657","VA","Loudoun",3,2,2,10,3,NA
"1658","VA","Lynchburg City",15,12,13,20,15,NA
"1659","VA","Madison",2,1,NA,14,2,NA
"1660","VA","Manassas City",1,NA,NA,3,1,NA
"1661","VA","Mecklenburg",3,2,2,3,3,NA
"1662","VA","Middlesex",1,2,1,44,35,NA
"1663","VA","Montgomery",3,3,3,3,3,NA
"1664","VA","Newport News City",5,2,1,54,36,NA
"1665","VA","Norfolk City",3,1,8,44,20,NA
"1666","VA","Northampton",1,1,1,1,1,NA
"1667","VA","Petersburg City",2,1,3,6,2,NA
"1668","VA","Prince William",26,19,24,29,24,NA
"1669","VA","Radford City",2,NA,NA,2,2,NA
"1670","VA","Roanoke",18,NA,1,17,15,NA
"1671","VA","Roanoke City",1,5,1,2,1,1
"1672","VA","Shenandoah",1,1,NA,7,2,NA
"1673","VA","Smyth",21,2,1,23,1,NA
"1674","VA","Southampton",1,1,NA,NA,NA,NA
"1675","VA","Spotsylvania",2,1,2,5,2,NA
"1676","VA","Stafford",20,1,7,29,21,NA
"1677","VA","Staunton City",2,NA,NA,39,1,NA
"1678","VA","Suffolk City",15,4,3,24,7,NA
"1679","VA","Tazewell",23,4,3,32,23,NA
"1680","VA","Virginia Beach City",10,19,11,53,60,NA
"1681","VA","Warren",1,NA,NA,2,2,NA
"1682","VA","Washington",21,5,5,17,7,NA
"1683","VA","Wise",6,6,5,13,7,NA
"1684","VA","Wythe",1,2,1,3,1,NA
"1685","VA","York",2,1,1,2,2,NA
"1686","VT","Bennington",20,9,5,31,22,NA
"1687","VT","Caledonia",21,1,1,25,21,NA
"1688","VT","Chittenden",20,1,1,28,20,NA
"1689","VT","Franklin",20,NA,NA,24,20,NA
"1690","VT","Orleans",23,1,1,20,20,NA
"1691","VT","Rutland",40,NA,NA,45,40,NA
"1692","VT","Washington",28,4,3,49,41,NA
"1693","VT","Windham",1,9,1,1,1,NA
"1694","VT","Windsor",20,1,NA,20,20,NA
"1695","WA","Benton",12,4,NA,19,15,NA
"1696","WA","Clallam",3,30,2,43,35,1
"1697","WA","Clark",17,9,7,38,16,NA
"1698","WA","Columbia",1,NA,NA,NA,NA,NA
"1699","WA","Cowlitz",24,3,2,22,25,NA
"1700","WA","Grant",27,37,7,58,46,NA
"1701","WA","Grays Harbor",10,17,20,18,6,NA
"1702","WA","King",91,110,63,221,137,14
"1703","WA","Kitsap",60,61,51,73,60,NA
"1704","WA","Mason",30,22,15,32,35,NA
"1705","WA","Okanogan",7,1,6,1,NA,NA
"1706","WA","Pierce",121,32,37,156,161,1
"1707","WA","Skagit",1,14,12,5,5,1
"1708","WA","Snohomish",110,78,79,147,94,44
"1709","WA","Spokane",31,27,33,99,56,NA
"1710","WA","Stevens",10,NA,4,21,16,1
"1711","WA","Thurston",31,11,1,24,26,NA
"1712","WA","Walla Walla",8,10,19,9,10,4
"1713","WA","Whatcom",50,41,34,49,51,2
"1714","WA","Whitman",2,2,2,2,2,NA
"1715","WA","Yakima",35,41,30,73,30,NA
"1716","WI","Ashland",54,24,7,58,37,NA
"1717","WI","Barron",2,8,5,44,40,NA
"1718","WI","Bayfield",1,NA,NA,1,3,NA
"1719","WI","Brown",52,3,5,78,41,NA
"1720","WI","Calumet",13,13,NA,49,30,NA
"1721","WI","Chippewa",6,24,15,53,39,1
"1722","WI","Clark",1,1,2,2,16,NA
"1723","WI","Columbia",51,12,10,45,36,NA
"1724","WI","Crawford",32,NA,1,33,11,NA
"1725","WI","Dane",37,25,14,55,34,NA
"1726","WI","Dodge",75,4,11,110,20,NA
"1727","WI","Door",34,1,1,74,37,NA
"1728","WI","Douglas",43,4,1,61,22,NA
"1729","WI","Dunn",42,42,42,60,42,NA
"1730","WI","Eau Claire",84,20,13,88,63,NA
"1731","WI","Florence",22,22,NA,32,23,NA
"1732","WI","Fond du Lac",10,5,1,15,42,NA
"1733","WI","Grant",69,42,38,119,66,NA
"1734","WI","Green",24,5,3,26,23,NA
"1735","WI","Green Lake",15,15,14,36,19,NA
"1736","WI","Iowa",33,25,11,42,24,NA
"1737","WI","Jackson",1,NA,1,5,2,NA
"1738","WI","Jefferson",40,31,32,32,34,NA
"1739","WI","Juneau",37,8,7,95,53,NA
"1740","WI","Kenosha",17,54,26,42,44,NA
"1741","WI","Kewaunee",4,2,4,34,5,NA
"1742","WI","La Crosse",18,3,10,58,5,NA
"1743","WI","Langlade",2,4,NA,21,3,NA
"1744","WI","Lincoln",13,21,21,12,9,NA
"1745","WI","Manitowoc",24,29,4,75,17,NA
"1746","WI","Marathon",69,31,22,102,80,1
"1747","WI","Milwaukee",121,49,59,302,160,NA
"1748","WI","Oneida",3,4,4,12,5,NA
"1749","WI","Outagamie",40,5,2,53,32,NA
"1750","WI","Ozaukee",29,3,1,66,47,NA
"1751","WI","Pierce",24,3,2,81,12,NA
"1752","WI","Polk",1,2,1,1,3,NA
"1753","WI","Portage",31,NA,1,34,14,NA
"1754","WI","Racine",16,18,4,82,12,NA
"1755","WI","Rock",16,15,21,49,16,NA
"1756","WI","Sawyer",30,3,1,58,51,NA
"1757","WI","Shawano",36,NA,NA,95,32,NA
"1758","WI","Sheboygan",42,16,8,127,65,NA
"1759","WI","St. Croix",23,22,24,136,61,NA
"1760","WI","Taylor",16,2,1,19,15,NA
"1761","WI","Trempealeau",14,1,1,5,8,NA
"1762","WI","Walworth",44,5,26,54,40,NA
"1763","WI","Washburn",2,NA,NA,NA,1,NA
"1764","WI","Washington",4,5,7,6,4,NA
"1765","WI","Waukesha",46,65,40,104,54,NA
"1766","WI","Waupaca",21,27,17,18,15,NA
"1767","WI","Winnebago",30,29,28,32,30,NA
"1768","WI","Wood",27,61,29,89,37,NA
"1769","WV","Barbour",4,4,1,3,2,NA
"1770","WV","Berkeley",20,NA,1,27,20,NA
"1771","WV","Brooke",20,NA,NA,24,20,NA
"1772","WV","Cabell",23,3,25,32,23,NA
"1773","WV","Calhoun",12,NA,NA,NA,2,NA
"1774","WV","Fayette",103,3,3,129,102,NA
"1775","WV","Gilmer",20,NA,NA,25,20,NA
"1776","WV","Greenbrier",20,6,NA,28,20,NA
"1777","WV","Hampshire",21,2,1,46,39,NA
"1778","WV","Harrison",21,1,2,28,21,NA
"1779","WV","Jackson",20,NA,NA,28,20,NA
"1780","WV","Jefferson",40,1,NA,48,40,NA
"1781","WV","Kanawha",107,11,11,131,108,NA
"1782","WV","Lewis",1,1,1,1,1,NA
"1783","WV","Logan",21,1,1,24,21,NA
"1784","WV","Marion",42,5,8,52,47,NA
"1785","WV","Marshall",1,1,1,1,1,NA
"1786","WV","Mason",1,NA,1,8,5,NA
"1787","WV","Mercer",3,1,2,1,1,NA
"1788","WV","Mineral",20,1,1,21,20,NA
"1789","WV","Mingo",8,NA,NA,3,NA,NA
"1790","WV","Monongalia",23,3,3,24,23,NA
"1791","WV","Morgan",1,1,1,19,19,NA
"1792","WV","Pocahontas",20,2,2,21,20,NA
"1793","WV","Putnam",40,NA,NA,46,40,NA
"1794","WV","Raleigh",40,NA,1,51,40,NA
"1795","WV","Randolph",7,9,3,55,6,NA
"1796","WV","Ritchie",6,NA,1,12,14,NA
"1797","WV","Roane",20,NA,NA,24,20,NA
"1798","WV","Taylor",20,NA,NA,28,20,NA
"1799","WV","Tyler",20,NA,NA,21,20,NA
"1800","WV","Upshur",14,12,12,14,14,NA
"1801","WV","Wetzel",20,NA,NA,26,20,NA
"1802","WV","Wirt",1,1,1,1,1,NA
"1803","WV","Wood",57,34,18,81,58,NA
"1804","WY","Carbon",5,8,1,1,1,NA
"1805","WY","Crook",1,1,1,2,1,NA
"1806","WY","Fremont",1,3,2,4,1,NA
"1807","WY","Goshen",2,4,10,31,3,NA
"1808","WY","Laramie",18,5,4,43,25,NA
"1809","WY","Natrona",42,19,13,53,56,NA
"1810","WY","Platte",3,3,3,4,3,NA
"1811","WY","Sheridan",3,9,3,4,3,NA
"1812","WY","Sweetwater",4,NA,NA,32,18,NA
"1813","WY","Teton",2,4,1,3,1,NA
"1814","WY","Uinta",1,1,1,1,1,NA
"1815","AK","Nome",NA,8,2,2,NA,NA
"1816","AL","Greene",NA,1,2,NA,NA,20
"1817","AR","Crittenden",NA,1,NA,3,NA,NA
"1818","AR","Dallas",NA,1,2,4,2,NA
"1819","AR","Grant",NA,4,NA,14,NA,NA
"1820","AR","Greene",NA,1,NA,7,NA,NA
"1821","AR","Jackson",NA,2,NA,NA,NA,NA
"1822","AR","Woodruff",NA,1,NA,NA,NA,NA
"1823","CA","Amador",NA,1,NA,NA,NA,NA
"1824","CA","El Dorado",NA,18,NA,2,1,NA
"1825","CA","Lake",NA,14,14,7,NA,NA
"1826","CA","Mendocino",NA,2,NA,1,NA,NA
"1827","CO","Douglas",NA,1,2,2,NA,NA
"1828","CO","Moffat",NA,3,1,3,NA,NA
"1829","GA","Carroll",NA,19,NA,1,3,NA
"1830","GA","Coweta",NA,1,NA,1,1,NA
"1831","GA","Forsyth",NA,1,1,42,12,NA
"1832","GA","Glynn",NA,1,NA,NA,NA,NA
"1833","GA","Gordon",NA,24,NA,NA,NA,NA
"1834","GA","Jasper",NA,2,NA,3,NA,NA
"1835","GA","Jeff Davis",NA,1,NA,NA,NA,NA
"1836","GA","Wilcox",NA,2,NA,5,NA,NA
"1837","IA","Mahaska",NA,1,NA,NA,NA,NA
"1838","IA","O'Brien",NA,1,NA,38,1,NA
"1839","IA","Union",NA,2,NA,32,1,NA
"1840","ID","Valley",NA,3,NA,NA,NA,NA
"1841","IL","Alexander",NA,2,NA,NA,1,NA
"1842","IL","Cumberland",NA,3,NA,12,10,NA
"1843","IL","Edwards",NA,3,NA,1,NA,NA
"1844","IL","Ford",NA,3,NA,5,NA,NA
"1845","IL","Hardin",NA,1,NA,NA,NA,NA
"1846","IL","Jasper",NA,1,NA,NA,NA,NA
"1847","IL","Knox",NA,1,NA,5,2,NA
"1848","IL","Mason",NA,2,NA,9,1,NA
"1849","IL","Piatt",NA,1,NA,39,1,NA
"1850","IL","Whiteside",NA,5,1,19,NA,NA
"1851","IN","Benton",NA,15,NA,NA,NA,NA
"1852","IN","Clark",NA,19,NA,9,3,NA
"1853","IN","Gibson",NA,1,NA,7,NA,NA
"1854","IN","Hancock",NA,35,NA,36,NA,20
"1855","IN","Harrison",NA,3,NA,1,10,NA
"1856","IN","Noble",NA,29,30,32,34,NA
"1857","IN","Wayne",NA,8,NA,32,1,NA
"1858","KS","Clark",NA,2,1,NA,NA,NA
"1859","KS","Ford",NA,11,NA,4,NA,NA
"1860","KS","Graham",NA,3,NA,NA,1,NA
"1861","KS","Jackson",NA,1,NA,8,5,NA
"1862","KS","Seward",NA,5,NA,6,3,NA
"1863","KS","Trego",NA,2,NA,NA,NA,NA
"1864","KY","Bell",NA,1,NA,13,NA,NA
"1865","KY","Boyd",NA,1,NA,NA,NA,NA
"1866","KY","Henry",NA,13,1,25,1,NA
"1867","KY","Jessamine",NA,1,NA,NA,NA,NA
"1868","KY","Lewis",NA,1,NA,1,NA,NA
"1869","KY","Martin",NA,4,NA,NA,13,NA
"1870","LA","Allen",NA,6,NA,1,NA,NA
"1871","LA","Beauregard",NA,1,NA,3,NA,NA
"1872","LA","Claiborne",NA,6,3,9,3,NA
"1873","LA","Franklin",NA,8,NA,16,1,NA
"1874","LA","Lincoln",NA,3,NA,38,NA,NA
"1875","LA","Madison",NA,1,NA,1,NA,NA
"1876","LA","Orleans",NA,8,4,24,14,NA
"1877","LA","St. Landry",NA,2,NA,51,1,NA
"1878","LA","St. Mary",NA,3,NA,NA,1,NA
"1879","MI","Antrim",NA,4,NA,3,3,NA
"1880","MI","Benzie",NA,1,NA,3,NA,NA
"1881","MI","Gogebic",NA,4,NA,NA,NA,NA
"1882","MI","Huron",NA,1,NA,43,2,NA
"1883","MI","Iron",NA,1,NA,19,NA,NA
"1884","MI","Lake",NA,1,1,NA,1,NA
"1885","MI","Tuscola",NA,10,15,8,NA,NA
"1886","MN","Carver",NA,3,1,NA,NA,NA
"1887","MN","Cook",NA,1,NA,1,NA,NA
"1888","MN","Faribault",NA,7,NA,9,4,NA
"1889","MN","Isanti",NA,5,17,42,20,NA
"1890","MN","Kandiyohi",NA,1,NA,NA,NA,NA
"1891","MN","Meeker",NA,1,NA,13,7,NA
"1892","MN","Nobles",NA,10,8,2,9,NA
"1893","MN","Rock",NA,1,1,3,NA,NA
"1894","MN","Steele",NA,1,NA,NA,NA,NA
"1895","MN","Watonwan",NA,1,NA,30,NA,NA
"1896","MO","Audrain",NA,2,4,6,1,NA
"1897","MO","Christian",NA,4,3,45,7,NA
"1898","MO","Grundy",NA,3,NA,NA,NA,NA
"1899","MO","Henry",NA,3,NA,NA,NA,NA
"1900","MO","Lewis",NA,1,NA,NA,NA,NA
"1901","MO","Marion",NA,1,NA,NA,2,NA
"1902","MO","Perry",NA,10,NA,4,3,NA
"1903","MO","Putnam",NA,4,NA,3,1,NA
"1904","MO","St. Clair",NA,1,NA,6,NA,NA
"1905","MO","Washington",NA,2,5,7,NA,NA
"1906","MO","Worth",NA,3,NA,NA,1,NA
"1907","MO","Wright",NA,3,1,NA,1,NA
"1908","MS","Copiah",NA,1,1,5,NA,NA
"1909","MS","Forrest",NA,2,NA,NA,NA,NA
"1910","MS","George",NA,1,NA,1,2,NA
"1911","MS","Holmes",NA,2,NA,1,NA,NA
"1912","MS","Humphreys",NA,2,NA,NA,NA,NA
"1913","MS","Leake",NA,1,NA,NA,1,NA
"1914","MS","Leflore",NA,1,1,NA,1,NA
"1915","MS","Marshall",NA,1,NA,NA,NA,NA
"1916","MS","Montgomery",NA,1,NA,1,NA,NA
"1917","MS","Scott",NA,3,1,NA,10,NA
"1918","MS","Sharkey",NA,5,NA,1,NA,NA
"1919","MS","Sunflower",NA,1,NA,23,2,NA
"1920","MS","Tallahatchie",NA,25,NA,NA,NA,NA
"1921","MS","Union",NA,3,NA,2,NA,NA
"1922","MS","Walthall",NA,7,NA,11,NA,NA
"1923","MS","Wilkinson",NA,1,NA,NA,NA,NA
"1924","NC","Hertford",NA,1,NA,NA,NA,NA
"1925","NC","Montgomery",NA,2,NA,NA,NA,NA
"1926","NC","Stokes",NA,3,NA,3,NA,NA
"1927","NC","Yancey",NA,2,1,NA,NA,NA
"1928","ND","Adams",NA,7,2,NA,NA,NA
"1929","NE","Burt",NA,1,NA,4,1,NA
"1930","NE","Greeley",NA,5,NA,NA,NA,NA
"1931","NE","Knox",NA,2,NA,4,3,NA
"1932","NE","Pawnee",NA,2,NA,5,NA,NA
"1933","NE","Rock",NA,1,NA,2,NA,NA
"1934","NE","Seward",NA,3,NA,8,2,NA
"1935","NE","Valley",NA,5,3,1,4,NA
"1936","NM","Sierra",NA,22,7,1,1,NA
"1937","NV","Nye",NA,3,NA,1,NA,NA
"1938","NY","Cattaraugus",NA,2,NA,NA,NA,NA
"1939","NY","Chautauqua",NA,2,NA,1,NA,NA
"1940","NY","Montgomery",NA,4,2,NA,37,NA
"1941","NY","Oswego",NA,1,NA,1,NA,NA
"1942","NY","Otsego",NA,1,NA,NA,NA,NA
"1943","NY","Rockland",NA,22,17,20,4,1
"1944","OH","Athens",NA,7,2,39,8,NA
"1945","OH","Jackson",NA,4,NA,NA,NA,NA
"1946","OH","Morgan",NA,1,NA,NA,NA,NA
"1947","OK","Atoka",NA,3,NA,NA,NA,NA
"1948","OK","Grady",NA,1,2,1,NA,NA
"1949","OK","Harmon",NA,13,NA,2,NA,NA
"1950","OK","Hughes",NA,2,NA,22,NA,NA
"1951","OK","Jefferson",NA,3,5,11,3,NA
"1952","OK","Kingfisher",NA,5,NA,52,1,NA
"1953","OK","Kiowa",NA,1,2,1,NA,NA
"1954","OK","Love",NA,3,4,13,3,NA
"1955","OK","McClain",NA,2,3,9,1,NA
"1956","OK","Okmulgee",NA,1,NA,33,NA,NA
"1957","OK","Ottawa",NA,4,NA,11,1,NA
"1958","OK","Pottawatomie",NA,1,1,36,19,NA
"1959","OK","Rogers",NA,4,NA,36,NA,NA
"1960","OK","Sequoyah",NA,1,5,13,5,NA
"1961","OK","Texas",NA,6,3,NA,1,NA
"1962","OK","Wagoner",NA,1,1,10,NA,NA
"1963","OR","Columbia",NA,2,NA,6,NA,NA
"1964","OR","Curry",NA,1,NA,1,NA,NA
"1965","OR","Tillamook",NA,18,1,NA,1,NA
"1966","OR","Union",NA,3,1,NA,NA,NA
"1967","PA","Greene",NA,2,31,NA,18,NA
"1968","PA","Susquehanna",NA,1,NA,1,NA,NA
"1969","PR","San Juan",NA,1,NA,14,1,NA
"1970","SC","Clarendon",NA,1,NA,15,NA,NA
"1971","SD","Bennett",NA,3,1,10,NA,NA
"1972","SD","Bon Homme",NA,1,5,2,NA,NA
"1973","SD","Brookings",NA,3,2,11,NA,NA
"1974","SD","Charles Mix",NA,2,1,24,5,NA
"1975","SD","Deuel",NA,4,NA,6,4,NA
"1976","SD","Faulk",NA,3,NA,2,3,NA
"1977","SD","Hamlin",NA,4,NA,1,NA,NA
"1978","SD","Hyde",NA,1,NA,2,NA,NA
"1979","SD","Jerauld",NA,1,2,NA,NA,NA
"1980","SD","Lincoln",NA,2,3,NA,1,NA
"1981","TN","Loudon",NA,1,NA,NA,NA,NA
"1982","TN","Obion",NA,13,12,1,6,NA
"1983","TN","Sevier",NA,1,NA,31,1,NA
"1984","TX","Bee",NA,1,NA,NA,NA,NA
"1985","TX","Caldwell",NA,2,NA,8,3,NA
"1986","TX","Coleman",NA,2,NA,8,NA,NA
"1987","TX","Colorado",NA,7,NA,9,NA,NA
"1988","TX","Crane",NA,1,1,1,NA,NA
"1989","TX","Erath",NA,15,4,11,11,NA
"1990","TX","Goliad",NA,3,NA,2,1,NA
"1991","TX","Haskell",NA,2,NA,5,NA,NA
"1992","TX","Jack",NA,1,NA,1,NA,NA
"1993","TX","Jackson",NA,2,NA,NA,NA,NA
"1994","TX","Jones",NA,1,2,12,1,NA
"1995","TX","Knox",NA,2,NA,7,NA,NA
"1996","TX","Lipscomb",NA,3,NA,NA,NA,NA
"1997","TX","Montague",NA,2,NA,NA,2,NA
"1998","TX","Nacogdoches",NA,10,6,NA,NA,NA
"1999","TX","Nolan",NA,2,NA,2,NA,NA
"2000","TX","Ochiltree",NA,14,4,12,2,NA
"2001","TX","Pecos",NA,1,1,NA,NA,NA
"2002","TX","Rains",NA,3,1,7,1,NA
"2003","TX","San Saba",NA,6,NA,NA,NA,NA
"2004","TX","Terry",NA,4,NA,6,NA,NA
"2005","TX","Wilson",NA,5,1,1,3,3
"2006","UT","Cache",NA,1,NA,6,1,NA
"2007","UT","Washington",NA,3,NA,2,1,18
"2008","VA","Albermarle",NA,9,NA,10,NA,NA
"2009","VA","Augusta",NA,1,5,1,4,NA
"2010","VA","Chesapeake City",NA,1,NA,15,4,NA
"2011","VA","Danville City",NA,1,NA,5,NA,NA
"2012","VA","Grayson",NA,1,NA,1,NA,NA
"2013","VA","Richmond City",NA,1,4,37,6,NA
"2014","VA","Sussex",NA,1,1,NA,NA,NA
"2015","WA","Island",NA,1,1,2,1,NA
"2016","WA","Pacific",NA,1,NA,NA,NA,NA
"2017","WI","Iron",NA,1,NA,1,NA,NA
"2018","WI","Monroe",NA,1,1,NA,NA,NA
"2019","WI","Price",NA,1,1,NA,2,NA
"2020","WI","Sauk",NA,1,NA,NA,NA,NA
"2021","WI","Vernon",NA,5,NA,22,6,NA
"2022","WV","Summers",NA,1,NA,NA,NA,NA
"2023","AK","Ketchikan",NA,NA,1,42,NA,NA
"2024","AL","Calhoun",NA,NA,1,9,NA,NA
"2025","AL","Pickens",NA,NA,3,16,6,NA
"2026","AR","Columbia",NA,NA,1,NA,NA,NA
"2027","AR","Independence",NA,NA,1,7,NA,NA
"2028","AR","Lincoln",NA,NA,2,NA,NA,NA
"2029","AR","Logan",NA,NA,1,6,NA,NA
"2030","AR","Newton",NA,NA,1,NA,NA,NA
"2031","AZ","Navajo",NA,NA,1,1,NA,NA
"2032","AZ","Yuma",NA,NA,1,NA,NA,NA
"2033","CO","Huerfano",NA,NA,2,NA,NA,NA
"2034","CO","Teller",NA,NA,3,3,NA,NA
"2035","GA","Glascock",NA,NA,1,3,NA,NA
"2036","GA","Oconee",NA,NA,1,NA,NA,NA
"2037","GA","Troup",NA,NA,1,26,3,NA
"2038","GA","Whitfield",NA,NA,2,12,1,NA
"2039","ID","Bonner",NA,NA,3,NA,NA,NA
"2040","ID","Washington",NA,NA,1,NA,NA,NA
"2041","IL","Edgar",NA,NA,1,NA,NA,NA
"2042","IL","Hamilton",NA,NA,1,NA,NA,NA
"2043","KY","Bath",NA,NA,2,1,NA,NA
"2044","KY","Fulton",NA,NA,1,NA,NA,NA
"2045","KY","Nelson",NA,NA,1,NA,NA,NA
"2046","KY","Robertson",NA,NA,1,NA,NA,NA
"2047","LA","Acadia",NA,NA,1,20,6,NA
"2048","MA","Barnstable",NA,NA,4,4,NA,NA
"2049","MA","Berkshire",NA,NA,1,7,NA,NA
"2050","MI","Charlevoix",NA,NA,4,1,1,NA
"2051","MI","Delta",NA,NA,3,49,NA,NA
"2052","MI","Houghton",NA,NA,16,1,NA,NA
"2053","MI","Lapeer",NA,NA,8,2,NA,NA
"2054","MN","Cottonwood",NA,NA,1,41,NA,NA
"2055","MN","Lac qui Parle",NA,NA,2,6,NA,NA
"2056","MN","Pope",NA,NA,1,1,NA,NA
"2057","MN","Sherburne",NA,NA,1,NA,1,NA
"2058","MO","Butler",NA,NA,1,1,NA,NA
"2059","MO","Knox",NA,NA,1,1,NA,NA
"2060","MO","Montgomery",NA,NA,1,46,36,NA
"2061","MO","Scotland",NA,NA,6,NA,NA,NA
"2062","MO","Scott",NA,NA,1,1,NA,NA
"2063","MO","Warren",NA,NA,1,3,2,NA
"2064","MS","Noxubee",NA,NA,1,NA,NA,NA
"2065","MS","Washington",NA,NA,1,NA,NA,NA
"2066","MS","Yazoo",NA,NA,2,6,NA,NA
"2067","MT","Big Horn",NA,NA,1,NA,NA,NA
"2068","MT","Blaine",NA,NA,1,NA,NA,NA
"2069","MT","Wibaux",NA,NA,1,NA,NA,NA
"2070","NC","Swain",NA,NA,1,NA,NA,NA
"2071","NC","Transylvania",NA,NA,1,1,NA,NA
"2072","ND","Logan",NA,NA,1,NA,NA,NA
"2073","NE","Colfax",NA,NA,1,10,NA,NA
"2074","NE","Fillmore",NA,NA,1,7,NA,NA
"2075","NE","Hamilton",NA,NA,1,2,3,NA
"2076","NE","Howard",NA,NA,3,7,NA,NA
"2077","NE","Nemaha",NA,NA,1,NA,NA,NA
"2078","NJ","Hunterdon",NA,NA,1,3,2,NA
"2079","NJ","Somerset",NA,NA,28,29,NA,NA
"2080","NM","Eddy",NA,NA,1,NA,NA,NA
"2081","NY","Onondaga",NA,NA,4,4,NA,NA
"2082","NY","Orleans",NA,NA,6,4,4,NA
"2083","NY","Warren",NA,NA,5,NA,1,NA
"2084","OH","Defiance",NA,NA,1,7,NA,NA
"2085","OH","Delaware",NA,NA,2,16,1,NA
"2086","OH","Paulding",NA,NA,1,1,NA,NA
"2087","OK","Beckham",NA,NA,1,NA,NA,NA
"2088","OK","McIntosh",NA,NA,1,10,NA,NA
"2089","OK","Tillman",NA,NA,2,NA,NA,NA
"2090","PA","Armstrong",NA,NA,2,NA,NA,NA
"2091","PA","Snyder",NA,NA,1,NA,NA,NA
"2092","SC","Marion",NA,NA,2,8,NA,NA
"2093","SC","Williamsburg",NA,NA,1,NA,1,NA
"2094","SD","Haakon",NA,NA,1,NA,NA,NA
"2095","SD","McCook",NA,NA,3,NA,NA,NA
"2096","TN","Franklin",NA,NA,1,4,NA,NA
"2097","TN","Hawkins",NA,NA,2,1,1,NA
"2098","TN","Humphreys",NA,NA,1,NA,NA,NA
"2099","TN","Monroe",NA,NA,1,NA,NA,NA
"2100","TN","Van Buren",NA,NA,1,15,NA,NA
"2101","TX","Austin",NA,NA,1,1,NA,NA
"2102","TX","Calhoun",NA,NA,3,NA,NA,NA
"2103","TX","Cass",NA,NA,1,1,NA,NA
"2104","TX","Lamar",NA,NA,1,2,NA,NA
"2105","TX","Ward",NA,NA,1,NA,NA,NA
"2106","VA","Arlington",NA,NA,43,1,NA,NA
"2107","VA","Frederick",NA,NA,2,23,NA,NA
"2108","VA","Harrisonburg City",NA,NA,1,5,NA,NA
"2109","VA","Lexington City",NA,NA,1,2,NA,NA
"2110","VA","Page",NA,NA,1,NA,NA,NA
"2111","VA","Portsmouth City",NA,NA,1,NA,NA,NA
"2112","WI","Marinette",NA,NA,2,NA,NA,NA
"2113","WI","Oconto",NA,NA,3,1,1,NA
"2114","WI","Richland",NA,NA,1,NA,NA,NA
"2115","WV","Preston",NA,NA,1,NA,NA,NA
"2116","WY","Big Horn",NA,NA,1,NA,NA,NA
"2117","WY","Johnson",NA,NA,1,18,NA,NA
"2118","AL","Autauga",NA,NA,NA,2,NA,NA
"2119","AL","Covington",NA,NA,NA,11,NA,NA
"2120","AL","Crenshaw",NA,NA,NA,7,NA,NA
"2121","AL","Dale",NA,NA,NA,6,NA,NA
"2122","AL","Lawrence",NA,NA,NA,1,NA,NA
"2123","AL","Marengo",NA,NA,NA,15,NA,NA
"2124","AL","Marion",NA,NA,NA,1,NA,NA
"2125","AL","Walker",NA,NA,NA,7,NA,NA
"2126","AR","Cleburne",NA,NA,NA,3,NA,NA
"2127","AR","Craighead",NA,NA,NA,1,NA,NA
"2128","AR","Nevada",NA,NA,NA,15,NA,NA
"2129","AR","Ouachita",NA,NA,NA,5,NA,NA
"2130","AR","Union",NA,NA,NA,6,NA,NA
"2131","AR","Washington",NA,NA,NA,43,NA,NA
"2132","CA","San Luis Obispo",NA,NA,NA,11,NA,NA
"2133","CA","Tehama",NA,NA,NA,2,NA,NA
"2134","CO","Chaffee",NA,NA,NA,1,NA,NA
"2135","CO","Cheyenne",NA,NA,NA,1,NA,NA
"2136","FL","Hamilton",NA,NA,NA,6,NA,NA
"2137","FL","Hendry",NA,NA,NA,5,NA,NA
"2138","FL","Nassau",NA,NA,NA,17,NA,NA
"2139","FL","Sumter",NA,NA,NA,34,NA,NA
"2140","FL","Taylor",NA,NA,NA,11,NA,NA
"2141","GA","Appling",NA,NA,NA,9,NA,NA
"2142","GA","Douglas",NA,NA,NA,18,NA,NA
"2143","GA","Fannin",NA,NA,NA,1,NA,NA
"2144","GA","Gilmer",NA,NA,NA,7,NA,NA
"2145","GA","Heard",NA,NA,NA,2,NA,NA
"2146","GA","Jenkins",NA,NA,NA,1,NA,1
"2147","GA","Mitchell",NA,NA,NA,17,1,NA
"2148","GA","Pickens",NA,NA,NA,15,NA,NA
"2149","GA","Spalding",NA,NA,NA,1,NA,NA
"2150","GA","Stewart",NA,NA,NA,2,NA,NA
"2151","GA","Telfair",NA,NA,NA,10,NA,NA
"2152","GA","Toombs",NA,NA,NA,5,NA,NA
"2153","GA","Treutlen",NA,NA,NA,2,NA,NA
"2154","GA","Upson",NA,NA,NA,4,NA,NA
"2155","GA","Wheeler",NA,NA,NA,20,NA,NA
