"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"254","GA","Haralson",2,1,13,8,8,NA
"255","GA","Harris",1,NA,1,NA,NA,NA
"256","GA","Hart",1,1,NA,NA,NA,NA
"257","GA","Houston",4,6,11,60,9,NA
"258","GA","Irwin",8,NA,NA,NA,8,NA
"259","GA","Jackson",4,8,NA,31,6,NA
"260","GA","Jefferson",8,NA,NA,NA,NA,NA
"261","GA","Jones",5,NA,NA,9,4,NA
"262","GA","Laurens",31,18,17,32,31,NA
"263","GA","Liberty",9,13,12,12,11,NA
"264","GA","Lowndes",5,5,5,8,7,NA
"265","GA","Macon",10,NA,NA,6,NA,NA
"266","GA","Madison",2,3,1,1,1,NA
"267","GA","Monroe",2,NA,1,NA,1,NA
"268","GA","Muscogee",14,12,1,17,13,2
"269","GA","Newton",6,1,7,4,3,NA
"270","GA","Oglethorpe",8,6,13,3,NA,NA
"271","GA","Peach",36,35,35,42,35,NA
"272","GA","Polk",38,NA,NA,40,40,NA
"273","GA","Putnam",5,1,1,14,3,NA
"274","GA","Richmond",6,6,6,6,6,NA
"275","GA","Rockdale",2,1,18,7,NA,NA
"276","GA","Screven",1,NA,4,8,1,NA
"277","GA","Seminole",1,NA,NA,NA,NA,NA
"278","GA","Sumter",1,1,2,7,1,NA
"279","GA","Tattnall",44,44,44,44,44,NA
"280","GA","Taylor",2,NA,NA,NA,NA,NA
"281","GA","Thomas",3,3,3,3,3,NA
"282","GA","Tift",4,4,4,4,4,NA
"283","GA","Walker",39,10,10,39,39,NA
"284","GA","Walton",4,1,1,1,1,NA
"285","GA","Ware",16,2,3,24,15,NA
"286","GA","Warren",2,1,3,4,1,NA
"287","GA","Washington",8,1,2,9,1,NA
"288","GA","Wayne",15,14,17,16,15,NA
"289","HI","Hawaii",52,21,44,76,49,NA
"290","HI","Honolulu",150,7,10,124,98,12
"291","HI","Kauai",7,12,6,11,6,NA
"292","HI","Maui",3,1,1,51,45,NA
"293","IA","Allamakee",25,5,25,29,25,NA
"294","IA","Audubon",33,26,15,60,60,NA
"295","IA","Benton",35,1,3,43,40,NA
"296","IA","Black Hawk",97,17,26,150,96,NA
"297","IA","Boone",13,6,5,23,14,NA
"298","IA","Bremer",5,4,2,42,27,NA
"299","IA","Buchanan",47,NA,47,47,47,NA
"300","IA","Butler",71,NA,70,86,78,NA
"301","IA","Calhoun",34,5,3,47,34,NA
"302","IA","Carroll",35,75,46,68,65,NA
"303","IA","Cass",5,1,1,25,1,NA
"304","IA","Cedar",40,29,9,69,40,NA
"305","IA","Cerro Gordo",48,3,48,49,48,NA
"306","IA","Cherokee",3,3,3,3,3,33
"307","IA","Chickasaw",13,5,5,33,23,NA
"308","IA","Clay",11,12,11,16,32,NA
"309","IA","Clayton",55,12,42,91,72,NA
"310","IA","Clinton",18,1,1,20,6,NA
"311","IA","Crawford",43,15,11,51,42,NA
"312","IA","Dallas",4,4,8,46,11,NA
"313","IA","Davis",24,NA,24,24,24,NA
"314","IA","Des Moines",30,30,30,41,31,NA
"315","IA","Dickinson",1,1,1,1,1,NA
"316","IA","Dubuque",149,58,50,173,131,NA
"317","IA","Emmet",22,NA,22,22,25,NA
"318","IA","Fayette",48,1,54,79,51,NA
"319","IA","Floyd",52,1,24,98,70,NA
"320","IA","Franklin",26,4,26,26,26,NA
"321","IA","Greene",25,1,2,30,27,NA
"322","IA","Grundy",45,18,14,48,45,NA
"323","IA","Guthrie",2,2,5,16,15,NA
"324","IA","Hamilton",24,1,24,25,24,NA
"325","IA","Hancock",47,NA,47,66,55,NA
"326","IA","Hardin",23,39,9,63,41,NA
"327","IA","Harrison",2,23,3,40,37,NA
"328","IA","Henry",6,5,4,33,14,NA
"329","IA","Howard",36,6,28,75,51,NA
"330","IA","Humboldt",3,3,4,6,3,NA
"331","IA","Ida",59,36,59,75,60,NA
"332","IA","Iowa",27,7,7,75,48,NA
"333","IA","Jackson",3,NA,2,10,7,NA
"334","IA","Jasper",4,2,5,4,4,NA
"335","IA","Johnson",11,35,29,41,42,NA
"336","IA","Jones",20,11,18,25,19,NA
"337","IA","Keokuk",38,12,35,33,38,NA
"338","IA","Kossuth",38,15,5,60,13,NA
"339","IA","Lee",33,10,11,50,36,NA
"340","IA","Linn",146,84,131,231,190,NA
"341","IA","Louisa",49,25,49,50,49,NA
"342","IA","Lyon",3,11,12,28,4,NA
"343","IA","Madison",8,7,5,15,7,NA
"344","IA","Marion",51,46,36,71,43,NA
