"","Provider.State","County","Number_of_Available_Beds_by_County","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"1","AK","Anchorage",1749,NA,NA,NA
"2","AK","Bethel",107,NA,NA,NA
"3","AK","Cordova-Mccarthy",5,NA,NA,NA
"4","AK","Fairbanks",816,NA,NA,NA
"5","AK","Juneau",252,NA,NA,NA
"6","AK","Kenai-Cook Inlet",899,NA,NA,NA
"7","AK","Ketchikan",348,NA,NA,NA
"8","AK","Kodiak Island Borough",21,NA,NA,NA
"9","AK","Matanuska-Susitna",1902,NA,NA,NA
"10","AK","Nome",69,NA,NA,NA
"11","AK","Not Available",54,NA,NA,NA
"12","AK","Seward",404,NA,NA,NA
"13","AK","Sitka",27,NA,NA,NA
"14","AK","Valdez-Chitina-Whittier",58,NA,NA,NA
"15","AK","Wrangell-Petersburg",352,NA,NA,NA
"16","AL","Autauga",1742,NA,NA,NA
"17","AL","Baldwin",11037,516,12,0.023
"18","AL","Barbour",1651,NA,NA,NA
"19","AL","Bibb",1221,NA,NA,NA
"20","AL","Blount",1944,NA,NA,NA
"21","AL","Bullock",1453,NA,NA,NA
"22","AL","Butler",2667,NA,NA,NA
"23","AL","Calhoun",6737,NA,NA,NA
"24","AL","Chambers",2904,NA,NA,NA
"25","AL","Cherokee",1728,NA,NA,NA
"26","AL","Chilton",3955,NA,NA,NA
"27","AL","Choctaw",2898,NA,NA,NA
"28","AL","Clarke",1578,NA,NA,NA
"29","AL","Clay",1645,NA,NA,NA
"30","AL","Cleburne",645,NA,NA,NA
"31","AL","Coffee",4744,NA,NA,NA
"32","AL","Colbert",4317,NA,NA,NA
"33","AL","Conecuh",373,NA,NA,NA
"34","AL","Coosa",655,NA,NA,NA
"35","AL","Covington",5545,NA,NA,NA
"36","AL","Crenshaw",1143,NA,NA,NA
"37","AL","Cullman",5718,NA,NA,NA
"38","AL","Dale",2835,NA,NA,NA
"39","AL","Dallas",3993,NA,NA,NA
"40","AL","DeKalb",4372,NA,NA,NA
"41","AL","Elmore",4743,NA,NA,NA
"42","AL","Escambia",2186,NA,NA,NA
"43","AL","Etowah",11406,NA,NA,NA
"44","AL","Fayette",1262,NA,NA,NA
"45","AL","Franklin",2592,NA,NA,NA
"46","AL","Geneva",1146,NA,NA,NA
"47","AL","Greene",1505,25,11,0.44
"48","AL","Hale",1827,NA,NA,NA
"49","AL","Henry",2576,NA,NA,NA
"50","AL","Houston",4160,NA,NA,NA
"51","AL","Jackson",2676,NA,NA,NA
"52","AL","Jefferson",38335,559,7,0.013
"53","AL","Lamar",2512,NA,NA,NA
"54","AL","Lauderdale",5483,NA,NA,NA
"55","AL","Lawrence",1091,NA,NA,NA
"56","AL","Lee",6165,NA,NA,NA
"57","AL","Limestone",3432,NA,NA,NA
"58","AL","Lowndes",845,NA,NA,NA
"59","AL","Macon",1253,NA,NA,NA
"60","AL","Madison",11780,NA,NA,NA
"61","AL","Marengo",1538,NA,NA,NA
"62","AL","Marion",2516,NA,NA,NA
"63","AL","Marshall",2814,NA,NA,NA
"64","AL","Mobile",27124,NA,NA,NA
"65","AL","Monroe",1403,NA,NA,NA
"66","AL","Montgomery",17487,NA,NA,NA
"67","AL","Morgan",7777,NA,NA,NA
"68","AL","Perry",565,NA,NA,NA
"69","AL","Pickens",2389,NA,NA,NA
"70","AL","Pike",4372,NA,NA,NA
"71","AL","Randolph",2568,NA,NA,NA
"72","AL","Russell",2590,NA,NA,NA
"73","AL","Shelby",3951,NA,NA,NA
"74","AL","St. Clair",4589,NA,NA,NA
"75","AL","Sumter",1887,NA,NA,NA
"76","AL","Talladega",3775,NA,NA,NA
"77","AL","Tallapoosa",3812,NA,NA,NA
"78","AL","Tuscaloosa",9543,NA,NA,NA
"79","AL","Walker",5447,NA,NA,NA
"80","AL","Washington",503,NA,NA,NA
"81","AL","Wilcox",1888,NA,NA,NA
"82","AL","Winston",2786,NA,NA,NA
"83","AR","Arkansas",4162,NA,NA,NA
"84","AR","Ashley",2594,NA,NA,NA
"85","AR","Baxter",9263,NA,NA,NA
"86","AR","Benton",17667,NA,NA,NA
"87","AR","Boone",4778,NA,NA,NA
"88","AR","Bradley",2910,NA,NA,NA
"89","AR","Carroll",3094,NA,NA,NA
"90","AR","Chicot",3809,NA,NA,NA
"91","AR","Clark",2595,NA,NA,NA
"92","AR","Clay",5945,NA,NA,NA
"93","AR","Cleburne",3490,NA,NA,NA
"94","AR","Cleveland",278,NA,NA,NA
"95","AR","Columbia",6660,NA,NA,NA
"96","AR","Conway",4605,NA,NA,NA
"97","AR","Craighead",8484,NA,NA,NA
"98","AR","Crawford",5563,NA,NA,NA
"99","AR","Crittenden",4275,NA,NA,NA
"100","AR","Cross",4422,NA,NA,NA
"101","AR","Dallas",3226,NA,NA,NA
"102","AR","Desha",3445,NA,NA,NA
"103","AR","Drew",3684,NA,NA,NA
"104","AR","Faulkner",8819,NA,NA,NA
"105","AR","Franklin",2709,NA,NA,NA
"106","AR","Fulton",686,NA,NA,NA
"107","AR","Garland",14073,NA,NA,NA
"108","AR","Grant",2513,NA,NA,NA
"109","AR","Greene",3867,NA,NA,NA
"110","AR","Hempstead",1543,NA,NA,NA
"111","AR","Hot Spring",4297,NA,NA,NA
"112","AR","Howard",2761,NA,NA,NA
"113","AR","Independence",5142,NA,NA,NA
"114","AR","Izard",1228,NA,NA,NA
"115","AR","Jackson",5247,NA,NA,NA
"116","AR","Jefferson",13047,NA,NA,NA
"117","AR","Johnson",1786,NA,NA,NA
"118","AR","Lafayette",1201,NA,NA,NA
"119","AR","Lawrence",4341,NA,NA,NA
"120","AR","Lee",1286,NA,NA,NA
"121","AR","Lincoln",4097,NA,NA,NA
"122","AR","Little River",2319,NA,NA,NA
"123","AR","Logan",4554,NA,NA,NA
"124","AR","Lonoke",10214,NA,NA,NA
"125","AR","Madison",2502,NA,NA,NA
"126","AR","Marion",2676,NA,NA,NA
"127","AR","Miller",8013,NA,NA,NA
"128","AR","Mississippi",4284,NA,NA,NA
"129","AR","Monroe",3094,NA,NA,NA
"130","AR","Montgomery",1440,NA,NA,NA
"131","AR","Nevada",3655,NA,NA,NA
"132","AR","Newton",1191,NA,NA,NA
"133","AR","Ouachita",8434,NA,NA,NA
"134","AR","Perry",1225,NA,NA,NA
"135","AR","Phillips",2206,NA,NA,NA
"136","AR","Pike",2739,NA,NA,NA
"137","AR","Poinsett",3332,NA,NA,NA
"138","AR","Pope",6690,NA,NA,NA
"139","AR","Prairie",3319,NA,NA,NA
"140","AR","Pulaski",40323,NA,NA,NA
"141","AR","Randolph",3256,NA,NA,NA
"142","AR","Saline",9062,0,0,NA
"143","AR","Scott",2036,NA,NA,NA
"144","AR","Searcy",1481,NA,NA,NA
"145","AR","Sebastian",10489,NA,NA,NA
"146","AR","Sevier",3877,NA,NA,NA
"147","AR","Sharp",4270,NA,NA,NA
"148","AR","St. Francis",2146,NA,NA,NA
"149","AR","Stone",1105,NA,NA,NA
"150","AR","Union",12216,NA,NA,NA
"151","AR","Van Buren",3193,NA,NA,NA
"152","AR","Washington",15570,NA,NA,NA
"153","AR","White",12066,NA,NA,NA
"154","AR","Woodruff",1814,NA,NA,NA
"155","AR","Yell",1786,NA,NA,NA
"156","AZ","Apache",792,NA,NA,NA
"157","AZ","Cochise",4983,NA,NA,NA
"158","AZ","Coconino",4763,NA,NA,NA
"159","AZ","Gila",9443,NA,NA,NA
"160","AZ","Graham",2031,NA,NA,NA
"161","AZ","Maricopa",129153,11473,650,0.057
"162","AZ","Mohave",13018,NA,NA,NA
"163","AZ","Navajo",4491,NA,NA,NA
"164","AZ","Pima",45868,2033,24,0.012
"165","AZ","Pinal",7533,NA,NA,NA
"166","AZ","Yavapai",11190,NA,NA,NA
"167","AZ","Yuma",10437,NA,NA,NA
"168","CA","Alameda",59152,4516,580,0.128
"169","CA","Amador",5937,NA,NA,NA
"170","CA","Butte",8931,NA,NA,NA
"171","CA","Calaveras",823,NA,NA,NA
"172","CA","Colusa",706,NA,NA,NA
"173","CA","Contra Costa",29502,2194,687,0.313
"174","CA","Del Norte",1468,NA,NA,NA
"175","CA","El Dorado",3487,NA,NA,NA
"176","CA","Fresno",31804,1404,575,0.41
"177","CA","Glenn",462,297,0,0
"178","CA","Humboldt",5202,32,0,0
"179","CA","Imperial",4505,NA,NA,NA
"180","CA","Inyo",2279,NA,NA,NA
"181","CA","Kern",28722,1077,112,0.104
"182","CA","Kings",5771,NA,NA,NA
"183","CA","Lake",2621,NA,NA,NA
"184","CA","Lassen",2020,NA,NA,NA
"185","CA","Los Angeles",425716,62934,7338,0.117
"186","CA","Madera",3506,NA,NA,NA
"187","CA","Marin",10142,NA,NA,NA
"188","CA","Mariposa",-67,NA,NA,NA
"189","CA","Mendocino",4123,NA,NA,NA
"190","CA","Merced",10313,NA,NA,NA
"191","CA","Modoc",1205,NA,NA,NA
"192","CA","Monterey",9780,945,26,0.028
"193","CA","Napa",7112,NA,NA,NA
"194","CA","Nevada",4791,NA,NA,NA
"195","CA","Orange",85030,15883,858,0.054
"196","CA","Placer",12169,15,0,0
"197","CA","Plumas",331,6,0,0
"198","CA","Riverside",59210,4329,2054,0.474
"199","CA","Sacramento",41854,1273,435,0.342
"200","CA","San Benito",-482,NA,NA,NA
"201","CA","San Bernardino",43285,12247,1466,0.12
"202","CA","San Diego",77793,9468,1440,0.152
"203","CA","San Francisco",21709,826,0,0
"204","CA","San Joaquin",28744,1102,498,0.452
"205","CA","San Luis Obispo",12115,NA,NA,NA
"206","CA","San Mateo",18213,1440,122,0.085
"207","CA","Santa Barbara",15538,NA,NA,NA
"208","CA","Santa Clara",51951,5549,212,0.038
"209","CA","Santa Cruz",7721,0,0,NA
"210","CA","Shasta",12893,NA,NA,NA
"211","CA","Siskiyou",1076,NA,NA,NA
"212","CA","Solano",11384,NA,NA,NA
"213","CA","Sonoma",17420,337,9,0.027
"214","CA","Stanislaus",21399,NA,NA,NA
"215","CA","Sutter",4440,NA,NA,NA
"216","CA","Tehama",1222,NA,NA,NA
"217","CA","Trinity",537,NA,NA,NA
"218","CA","Tulare",18626,1252,17,0.014
"219","CA","Tuolumne",3134,NA,NA,NA
"220","CA","Ventura",19057,3704,25,0.007
"221","CA","Yolo",7560,668,8,0.012
"222","CA","Yuba",905,NA,NA,NA
"223","CO","Adams",24950,118,0,0
"224","CO","Alamosa",2143,NA,NA,NA
"225","CO","Arapahoe",30876,162,79,0.488
"226","CO","Archuleta",663,NA,NA,NA
"227","CO","Baca",988,NA,NA,NA
"228","CO","Bent",553,NA,NA,NA
"229","CO","Boulder",12641,NA,NA,NA
"230","CO","Broomfield",3058,NA,NA,NA
"231","CO","Chaffee",2321,NA,NA,NA
"232","CO","Cheyenne",712,NA,NA,NA
"233","CO","Conejos",808,NA,NA,NA
"234","CO","Crowley",362,NA,NA,NA
"235","CO","Delta",2284,NA,NA,NA
"236","CO","Denver",24457,NA,NA,NA
"237","CO","Douglas",7410,NA,NA,NA
"238","CO","Eagle",278,NA,NA,NA
"239","CO","El Paso",21458,384,0,0
"240","CO","Fremont",3520,NA,NA,NA
"241","CO","Garfield",4055,NA,NA,NA
"242","CO","Gunnison",309,NA,NA,NA
"243","CO","Huerfano",2002,NA,NA,NA
"244","CO","Jefferson",31121,NA,NA,NA
"245","CO","Kit Carson",687,NA,NA,NA
"246","CO","La Plata",1914,NA,NA,NA
"247","CO","Larimer",14333,NA,NA,NA
"248","CO","Las Animas",1607,NA,NA,NA
"249","CO","Lincoln",865,NA,NA,NA
"250","CO","Logan",1381,NA,NA,NA
"251","CO","Mesa",7672,NA,NA,NA
"252","CO","Moffat",664,NA,NA,NA
"253","CO","Montezuma",2162,NA,NA,NA
"254","CO","Montrose",3510,NA,NA,NA
"255","CO","Morgan",6827,NA,NA,NA
"256","CO","Otero",1430,NA,NA,NA
"257","CO","Phillips",330,NA,NA,NA
"258","CO","Prowers",630,NA,NA,NA
"259","CO","Pueblo",12017,185,0,0
"260","CO","Rio Blanco",197,NA,NA,NA
"261","CO","Rio Grande",2808,NA,NA,NA
"262","CO","Routt",1036,NA,NA,NA
"263","CO","Sedgwick",186,NA,NA,NA
"264","CO","Teller",1295,NA,NA,NA
"265","CO","Washington",60,NA,NA,NA
"266","CO","Weld",11932,NA,NA,NA
"267","CO","Yuma",1113,NA,NA,NA
"268","CT","Fairfield",61086,NA,NA,NA
"269","CT","Hartford",86798,1098,0,0
"270","CT","Litchfield",12294,0,0,NA
"271","CT","Middlesex",16238,NA,NA,NA
"272","CT","New Haven",68715,731,15,0.021
"273","CT","New London",18837,NA,NA,NA
"274","CT","Tolland",8222,NA,NA,NA
"275","CT","Windham",9566,NA,NA,NA
"276","DC","District Of Columbia",26626,616,2,0.003
"277","DE","Kent",11603,NA,NA,NA
"278","DE","New Castle",30380,278,6,0.022
"279","DE","Sussex",18620,NA,NA,NA
"280","FL","Alachua",10693,NA,NA,NA
"281","FL","Baker",2538,NA,NA,NA
"282","FL","Bay",7866,NA,NA,NA
"283","FL","Bradford",2363,NA,NA,NA
"284","FL","Brevard",28142,NA,NA,NA
"285","FL","Broward",47870,2908,791,0.272
"286","FL","Calhoun",2315,NA,NA,NA
"287","FL","Charlotte",11849,NA,NA,NA
"288","FL","Citrus",8980,NA,NA,NA
"289","FL","Clay",12931,NA,NA,NA
"290","FL","Collier",11892,NA,NA,NA
"291","FL","Columbia",3497,NA,NA,NA
"292","FL","DeSoto",1719,NA,NA,NA
"293","FL","Dixie",464,NA,NA,NA
"294","FL","Duval",47938,645,0,0
"295","FL","Escambia",17942,NA,NA,NA
"296","FL","Flagler",2492,NA,NA,NA
"297","FL","Franklin",985,NA,NA,NA
"298","FL","Gadsden",958,NA,NA,NA
"299","FL","Gilchrist",2057,NA,NA,NA
"300","FL","Gulf",2425,NA,NA,NA
"301","FL","Hamilton",195,NA,NA,NA
"302","FL","Hardee",1383,81,0,0
"303","FL","Hendry",2451,NA,NA,NA
"304","FL","Hernando",6324,NA,NA,NA
"305","FL","Highlands",6824,NA,NA,NA
"306","FL","Hillsborough",37553,NA,NA,NA
"307","FL","Holmes",1008,NA,NA,NA
"308","FL","Indian River",8425,NA,NA,NA
"309","FL","Jackson",5702,NA,NA,NA
"310","FL","Jefferson",1947,NA,NA,NA
"311","FL","Lafayette",637,NA,NA,NA
"312","FL","Lake",19061,NA,NA,NA
"313","FL","Lee",26652,NA,NA,NA
"314","FL","Leon",12893,NA,NA,NA
"315","FL","Levy",856,NA,NA,NA
"316","FL","Madison",2839,NA,NA,NA
"317","FL","Manatee",19166,NA,NA,NA
"318","FL","Marion",16151,NA,NA,NA
"319","FL","Martin",8152,NA,NA,NA
"320","FL","Miami-Dade",69042,2777,358,0.129
"321","FL","Monroe",2754,NA,NA,NA
"322","FL","Nassau",2520,NA,NA,NA
"323","FL","Okaloosa",7791,NA,NA,NA
"324","FL","Okeechobee",1217,NA,NA,NA
"325","FL","Orange",36225,1137,20,0.018
"326","FL","Osceola",11347,NA,NA,NA
"327","FL","Palm Beach",74887,437,185,0.423
"328","FL","Pasco",17585,NA,NA,NA
"329","FL","Pinellas",69719,172,0,0
"330","FL","Polk",36186,NA,NA,NA
"331","FL","Putnam",3254,NA,NA,NA
"332","FL","Santa Rosa",3184,NA,NA,NA
"333","FL","Sarasota",33184,97,1,0.01
"334","FL","Seminole",12954,1489,0,0
"335","FL","St. Johns",7346,NA,NA,NA
"336","FL","St. Lucie",13367,NA,NA,NA
"337","FL","Sumter",1495,NA,NA,NA
"338","FL","Suwannee",5156,NA,NA,NA
"339","FL","Taylor",573,NA,NA,NA
"340","FL","Volusia",34501,NA,NA,NA
"341","FL","Wakulla",1122,NA,NA,NA
"342","FL","Walton",3251,NA,NA,NA
"343","FL","Washington",2826,NA,NA,NA
"344","GA","Appling",844,NA,NA,NA
"345","GA","Bacon",1022,NA,NA,NA
"346","GA","Baldwin",5552,385,56,0.145
"347","GA","Barrow",2433,NA,NA,NA
"348","GA","Bartow",2863,NA,NA,NA
"349","GA","Ben Hill",2854,NA,NA,NA
"350","GA","Berrien",1296,NA,NA,NA
"351","GA","Bibb",11080,744,151,0.203
"352","GA","Bleckley",672,NA,NA,NA
"353","GA","Brantley",699,NA,NA,NA
"354","GA","Brooks",933,NA,NA,NA
"355","GA","Bryan",1265,NA,NA,NA
"356","GA","Bulloch",5142,NA,NA,NA
"357","GA","Burke",4083,NA,NA,NA
"358","GA","Butts",2994,NA,NA,NA
"359","GA","Calhoun",309,NA,NA,NA
"360","GA","Camden",1162,NA,NA,NA
"361","GA","Candler",2293,NA,NA,NA
"362","GA","Carroll",4678,0,0,NA
"363","GA","Catoosa",2530,NA,NA,NA
"364","GA","Chatham",14586,NA,NA,NA
"365","GA","Chattooga",1300,NA,NA,NA
"366","GA","Cherokee",2366,NA,NA,NA
"367","GA","Clarke",4945,NA,NA,NA
"368","GA","Clay",545,NA,NA,NA
"369","GA","Clayton",5355,NA,NA,NA
"370","GA","Clinch",668,NA,NA,NA
"371","GA","Cobb",20484,NA,NA,NA
"372","GA","Coffee",2497,NA,NA,NA
"373","GA","Colquitt",2783,0,0,NA
"374","GA","Columbia",3638,NA,NA,NA
"375","GA","Cook",169,NA,NA,NA
"376","GA","Coweta",3755,NA,NA,NA
"377","GA","Crawford",1094,NA,NA,NA
"378","GA","Crisp",3506,NA,NA,NA
"379","GA","Dade",1029,NA,NA,NA
"380","GA","Decatur",1915,NA,NA,NA
"381","GA","DeKalb",27311,430,3,0.007
"382","GA","Dodge",1378,NA,NA,NA
"383","GA","Dooly",1269,NA,NA,NA
"384","GA","Dougherty",6054,NA,NA,NA
"385","GA","Douglas",1940,583,0,0
"386","GA","Early",1501,NA,NA,NA
"387","GA","Effingham",704,NA,NA,NA
"388","GA","Elbert",2329,NA,NA,NA
"389","GA","Emanuel",3429,NA,NA,NA
"390","GA","Evans",1339,NA,NA,NA
"391","GA","Fannin",1638,NA,NA,NA
"392","GA","Fayette",4190,NA,NA,NA
"393","GA","Floyd",7439,516,213,0.413
"394","GA","Forsyth",2819,NA,NA,NA
"395","GA","Franklin",857,NA,NA,NA
"396","GA","Fulton",27612,NA,NA,NA
"397","GA","Gilmer",881,NA,NA,NA
"398","GA","Glascock",1658,NA,NA,NA
"399","GA","Glynn",7454,NA,NA,NA
"400","GA","Gordon",2249,NA,NA,NA
"401","GA","Grady",3910,NA,NA,NA
"402","GA","Greene",962,NA,NA,NA
"403","GA","Gwinnett",18376,NA,NA,NA
"404","GA","Habersham",3540,NA,NA,NA
"405","GA","Hall",5975,NA,NA,NA
"406","GA","Hancock",2627,NA,NA,NA
"407","GA","Haralson",1750,NA,NA,NA
"408","GA","Harris",860,NA,NA,NA
"409","GA","Hart",2917,NA,NA,NA
"410","GA","Heard",588,NA,NA,NA
"411","GA","Henry",3340,NA,NA,NA
"412","GA","Houston",5952,NA,NA,NA
"413","GA","Irwin",1379,NA,NA,NA
"414","GA","Jackson",1535,NA,NA,NA
"415","GA","Jasper",340,NA,NA,NA
"416","GA","Jeff Davis",738,NA,NA,NA
"417","GA","Jefferson",683,NA,NA,NA
"418","GA","Jenkins",1449,0,0,NA
"419","GA","Johnson",1320,NA,NA,NA
"420","GA","Jones",1425,NA,NA,NA
"421","GA","Lamar",1794,NA,NA,NA
"422","GA","Lanier",146,NA,NA,NA
"423","GA","Laurens",4670,NA,NA,NA
"424","GA","Lee",498,NA,NA,NA
"425","GA","Liberty",1192,NA,NA,NA
"426","GA","Long",768,NA,NA,NA
"427","GA","Lowndes",4135,NA,NA,NA
"428","GA","Lumpkin",1604,NA,NA,NA
"429","GA","Macon",2509,NA,NA,NA
"430","GA","Madison",1595,NA,NA,NA
"431","GA","Marion",776,NA,NA,NA
"432","GA","McDuffie",2462,NA,NA,NA
"433","GA","Meriwether",1874,NA,NA,NA
"434","GA","Miller",943,853,0,0
"435","GA","Mitchell",794,NA,NA,NA
"436","GA","Monroe",3961,NA,NA,NA
"437","GA","Morgan",591,NA,NA,NA
"438","GA","Murray",890,NA,NA,NA
"439","GA","Muscogee",20486,839,37,0.044
"440","GA","Newton",2569,NA,NA,NA
"441","GA","Oconee",1304,NA,NA,NA
"442","GA","Oglethorpe",446,NA,NA,NA
"443","GA","Paulding",2311,NA,NA,NA
"444","GA","Peach",948,NA,NA,NA
"445","GA","Pickens",743,NA,NA,NA
"446","GA","Polk",5162,NA,NA,NA
"447","GA","Pulaski",1273,NA,NA,NA
"448","GA","Putnam",1205,NA,NA,NA
"449","GA","Rabun",1543,NA,NA,NA
"450","GA","Randolph",1418,NA,NA,NA
"451","GA","Richmond",16415,NA,NA,NA
"452","GA","Rockdale",3024,NA,NA,NA
"453","GA","Screven",3186,NA,NA,NA
"454","GA","Seminole",729,NA,NA,NA
"455","GA","Spalding",4126,NA,NA,NA
"456","GA","Stephens",2221,NA,NA,NA
"457","GA","Stewart",978,NA,NA,NA
"458","GA","Sumter",5422,NA,NA,NA
"459","GA","Tattnall",2112,NA,NA,NA
"460","GA","Taylor",735,NA,NA,NA
"461","GA","Telfair",3244,NA,NA,NA
"462","GA","Terrell",985,NA,NA,NA
"463","GA","Thomas",3164,NA,NA,NA
"464","GA","Tift",2446,NA,NA,NA
"465","GA","Toombs",4476,NA,NA,NA
"466","GA","Towns",1045,NA,NA,NA
"467","GA","Treutlen",334,NA,NA,NA
"468","GA","Troup",6480,NA,NA,NA
"469","GA","Turner",883,NA,NA,NA
"470","GA","Twiggs",1459,NA,NA,NA
"471","GA","Union",1310,NA,NA,NA
"472","GA","Upson",2544,290,0,0
"473","GA","Walker",2815,0,0,NA
"474","GA","Walton",1910,NA,NA,NA
"475","GA","Ware",6407,NA,NA,NA
"476","GA","Warren",2139,NA,NA,NA
"477","GA","Washington",2129,NA,NA,NA
"478","GA","Wayne",1568,NA,NA,NA
"479","GA","Wheeler",245,NA,NA,NA
"480","GA","White",2093,NA,NA,NA
"481","GA","Whitfield",4508,NA,NA,NA
"482","GA","Wilcox",1704,NA,NA,NA
"483","GA","Wilkes",601,NA,NA,NA
"484","GA","Wilkinson",559,NA,NA,NA
"485","GA","Worth",1456,NA,NA,NA
"486","GU","Guam",46,NA,NA,NA
"487","HI","Hawaii",7041,1419,0,0
"488","HI","Honolulu",23514,2895,883,0.305
"489","HI","Kauai",3478,NA,NA,NA
"490","HI","Maui",4018,NA,NA,NA
"491","IA","Adair",1554,NA,NA,NA
"492","IA","Adams",359,NA,NA,NA
"493","IA","Allamakee",3133,NA,NA,NA
"494","IA","Appanoose",1808,NA,NA,NA
"495","IA","Audubon",1882,NA,NA,NA
"496","IA","Benton",1940,NA,NA,NA
"497","IA","Black Hawk",12671,650,3,0.005
"498","IA","Boone",3762,NA,NA,NA
"499","IA","Bremer",2873,NA,NA,NA
"500","IA","Buchanan",3180,NA,NA,NA
"501","IA","Buena Vista",1777,NA,NA,NA
"502","IA","Butler",4229,NA,NA,NA
"503","IA","Calhoun",2943,NA,NA,NA
"504","IA","Carroll",3649,NA,NA,NA
"505","IA","Cass",2932,NA,NA,NA
"506","IA","Cedar",1246,NA,NA,NA
"507","IA","Cerro Gordo",6438,NA,NA,NA
"508","IA","Cherokee",2746,0,0,NA
"509","IA","Chickasaw",1598,NA,NA,NA
"510","IA","Clarke",154,NA,NA,NA
"511","IA","Clay",1578,NA,NA,NA
"512","IA","Clayton",3297,NA,NA,NA
"513","IA","Clinton",3082,NA,NA,NA
"514","IA","Crawford",2579,NA,NA,NA
"515","IA","Dallas",5101,NA,NA,NA
"516","IA","Davis",1839,NA,NA,NA
"517","IA","Decatur",1236,NA,NA,NA
"518","IA","Delaware",1573,NA,NA,NA
"519","IA","Des Moines",4539,NA,NA,NA
"520","IA","Dickinson",2677,NA,NA,NA
"521","IA","Dubuque",9951,56,0,0
"522","IA","Emmet",3857,NA,NA,NA
"523","IA","Fayette",4411,1017,3,0.003
"524","IA","Floyd",1713,NA,NA,NA
"525","IA","Franklin",3905,125,0,0
"526","IA","Fremont",1170,NA,NA,NA
"527","IA","Greene",720,NA,NA,NA
"528","IA","Grundy",1793,NA,NA,NA
"529","IA","Guthrie",1046,NA,NA,NA
"530","IA","Hamilton",2840,NA,NA,NA
"531","IA","Hancock",1996,NA,NA,NA
"532","IA","Hardin",4838,NA,NA,NA
"533","IA","Harrison",3847,NA,NA,NA
"534","IA","Henry",4257,NA,NA,NA
"535","IA","Howard",2310,NA,NA,NA
"536","IA","Humboldt",3185,NA,NA,NA
"537","IA","Ida",3382,NA,NA,NA
"538","IA","Iowa",2961,NA,NA,NA
"539","IA","Jackson",2303,NA,NA,NA
"540","IA","Jasper",2933,NA,NA,NA
"541","IA","Jefferson",1303,NA,NA,NA
"542","IA","Johnson",6047,NA,NA,NA
"543","IA","Jones",1424,NA,NA,NA
"544","IA","Keokuk",2312,NA,NA,NA
"545","IA","Kossuth",2809,NA,NA,NA
"546","IA","Lee",4698,1806,89,0.049
"547","IA","Linn",18061,NA,NA,NA
"548","IA","Louisa",1454,NA,NA,NA
"549","IA","Lucas",836,NA,NA,NA
"550","IA","Lyon",1721,NA,NA,NA
"551","IA","Madison",1676,NA,NA,NA
"552","IA","Mahaska",3126,NA,NA,NA
"553","IA","Marion",2778,NA,NA,NA
"554","IA","Marshall",16121,NA,NA,NA
"555","IA","Mills",917,NA,NA,NA
"556","IA","Mitchell",2330,NA,NA,NA
"557","IA","Monona",3304,NA,NA,NA
"558","IA","Monroe",1396,NA,NA,NA
"559","IA","Montgomery",3728,NA,NA,NA
"560","IA","Muscatine",6182,NA,NA,NA
"561","IA","O'Brien",2443,NA,NA,NA
"562","IA","Osceola",1531,NA,NA,NA
"563","IA","Page",4389,NA,NA,NA
"564","IA","Palo Alto",2242,NA,NA,NA
"565","IA","Plymouth",2752,NA,NA,NA
"566","IA","Pocahontas",1391,NA,NA,NA
"567","IA","Polk",25996,565,211,0.373
"568","IA","Pottawattamie",7156,102,27,0.265
"569","IA","Poweshiek",4518,NA,NA,NA
"570","IA","Ringgold",1534,NA,NA,NA
"571","IA","Sac",3827,NA,NA,NA
"572","IA","Scott",17515,NA,NA,NA
"573","IA","Shelby",2173,NA,NA,NA
"574","IA","Sioux",3050,NA,NA,NA
"575","IA","Story",5664,NA,NA,NA
"576","IA","Tama",4140,NA,NA,NA
"577","IA","Taylor",1413,NA,NA,NA
"578","IA","Union",1212,NA,NA,NA
"579","IA","Van Buren",397,NA,NA,NA
"580","IA","Wapello",3911,NA,NA,NA
"581","IA","Warren",6635,0,0,NA
"582","IA","Washington",3743,NA,NA,NA
"583","IA","Wayne",463,NA,NA,NA
"584","IA","Webster",5935,NA,NA,NA
"585","IA","Winnebago",3419,NA,NA,NA
"586","IA","Winneshiek",2593,NA,NA,NA
"587","IA","Woodbury",12004,NA,NA,NA
"588","IA","Worth",951,NA,NA,NA
"589","IA","Wright",4131,NA,NA,NA
"590","ID","Ada",22577,671,10,0.015
"591","ID","Bannock",4606,NA,NA,NA
"592","ID","Bear Lake",191,NA,NA,NA
"593","ID","Benewah",713,NA,NA,NA
"594","ID","Bingham",797,NA,NA,NA
"595","ID","Blaine",309,NA,NA,NA
"596","ID","Bonner",1904,NA,NA,NA
"597","ID","Bonneville",6738,NA,NA,NA
"598","ID","Boundary",211,NA,NA,NA
"599","ID","Canyon",7234,212,0,0
"600","ID","Caribou",579,NA,NA,NA
"601","ID","Cassia",1943,NA,NA,NA
"602","ID","Clearwater",574,NA,NA,NA
"603","ID","Elmore",991,NA,NA,NA
"604","ID","Franklin",263,1,0,0
"605","ID","Fremont",485,NA,NA,NA
"606","ID","Gem",2201,NA,NA,NA
"607","ID","Gooding",542,NA,NA,NA
"608","ID","Idaho",916,NA,NA,NA
"609","ID","Kootenai",9171,308,0,0
